source_system,source_record_id,canonical_room_id,business_system,business_room_id,verification_status,match_method,match_confidence
wechat,wechat-001,wechat-001,lease,39,verified,local_eval_seed,0.7000
wechat,wechat-002,wechat-002,lease,40,verified,local_eval_seed,0.7000
wechat,wechat-003,wechat-003,lease,45,verified,local_eval_seed,0.7000
wechat,wechat-004,wechat-004,lease,33,verified,local_eval_seed,0.7000
wechat,wechat-005,wechat-005,lease,200079,verified,local_eval_seed,0.7000
wechat,wechat-006,wechat-006,lease,41,verified,local_eval_seed,0.7000
wechat,wechat-007,wechat-007,lease,46,verified,local_eval_seed,0.7000
wechat,wechat-008,wechat-008,lease,42,verified,local_eval_seed,0.7000
wechat,wechat-009,wechat-009,lease,34,verified,local_eval_seed,0.7000
wechat,wechat-010,wechat-010,lease,200080,verified,local_eval_seed,0.7000
wechat,wechat-011,wechat-011,lease,43,verified,local_eval_seed,0.7000
wechat,wechat-012,wechat-012,lease,47,verified,local_eval_seed,0.7000
wechat,wechat-013,wechat-013,lease,200091,verified,local_eval_seed,0.7000
wechat,wechat-014,wechat-014,lease,39,verified,local_eval_seed,0.7000
wechat,wechat-015,wechat-015,lease,40,verified,local_eval_seed,0.7000
wechat,wechat-016,wechat-016,lease,45,verified,local_eval_seed,0.7000
wechat,wechat-017,wechat-017,lease,33,verified,local_eval_seed,0.7000
wechat,wechat-018,wechat-018,lease,200079,verified,local_eval_seed,0.7000
wechat,wechat-019,wechat-019,lease,41,verified,local_eval_seed,0.7000
wechat,wechat-020,wechat-020,lease,46,verified,local_eval_seed,0.7000
wechat,wechat-021,wechat-021,lease,42,verified,local_eval_seed,0.7000
wechat,wechat-022,wechat-022,lease,34,verified,local_eval_seed,0.7000
wechat,wechat-023,wechat-023,lease,200080,verified,local_eval_seed,0.7000
wechat,wechat-024,wechat-024,lease,43,verified,local_eval_seed,0.7000
wechat,wechat-025,wechat-025,lease,47,verified,local_eval_seed,0.7000
wechat,wechat-026,wechat-026,lease,200091,verified,local_eval_seed,0.7000
wechat,wechat-027,wechat-027,lease,39,verified,local_eval_seed,0.7000
wechat,wechat-028,wechat-028,lease,40,verified,local_eval_seed,0.7000
wechat,wechat-029,wechat-029,lease,45,verified,local_eval_seed,0.7000
wechat,wechat-030,wechat-030,lease,33,verified,local_eval_seed,0.7000
wechat,wechat-031,wechat-031,lease,200079,verified,local_eval_seed,0.7000
wechat,wechat-032,wechat-032,lease,41,verified,local_eval_seed,0.7000
wechat,wechat-033,wechat-033,lease,46,verified,local_eval_seed,0.7000
wechat,wechat-034,wechat-034,lease,42,verified,local_eval_seed,0.7000
wechat,wechat-035,wechat-035,lease,34,verified,local_eval_seed,0.7000
wechat,wechat-036,wechat-036,lease,200080,verified,local_eval_seed,0.7000
wechat,wechat-037,wechat-037,lease,43,verified,local_eval_seed,0.7000
wechat,wechat-038,wechat-038,lease,47,verified,local_eval_seed,0.7000
wechat,wechat-039,wechat-039,lease,200091,verified,local_eval_seed,0.7000
wechat,wechat-040,wechat-040,lease,39,verified,local_eval_seed,0.7000
wechat,wechat-041,wechat-041,lease,40,verified,local_eval_seed,0.7000
wechat,wechat-042,wechat-042,lease,45,verified,local_eval_seed,0.7000
wechat,wechat-043,wechat-043,lease,33,verified,local_eval_seed,0.7000
wechat,wechat-044,wechat-044,lease,200079,verified,local_eval_seed,0.7000
